scenario,algo,noise_mu,action_noise_std,best_reward_with_diffusion,reward_noise_no_diffusion
simple_speaker_listener,MADDPG,1,3.0,-59.76±3.02,-183.55±5.33
simple_speaker_listener,RMAAC,1,0.0,-57.23±3.82,-62.85±44.47
simple_speaker_listener,RMAAC,1,1.0,-60.74±1.66,-81.16±4.26
simple_speaker_listener,RMAAC,1,2.0,-59.36±1.38,-134.57±4.01
simple_speaker_listener,RMAAC,1,3.0,-60.59±1.38,-167.31±10.00
simple_spread,ERNIE,-1,0.0,-401.23±10.44,-404.25±2.42
simple_spread,ERNIE,-1,1.0,-530.71±5.46,-534.61±13.75
simple_spread,ERNIE,-1,2.0,-589.05±7.45,-638.66±4.10
simple_spread,ERNIE,-1,3.0,-620.41±9.31,-687.26±10.91
simple_spread,M3DDPG,-1,0.0,-439.61±10.03,-447.06±18.00
simple_spread,M3DDPG,-1,1.0,-531.63±9.91,-542.11±13.49
simple_spread,M3DDPG,-1,2.0,-589.89±9.06,-636.88±3.60
simple_spread,M3DDPG,-1,3.0,-616.61±8.79,-683.28±7.46
simple_spread,MADDPG,-1,0.0,-419.26±12.11,-414.46±4.05
simple_spread,MADDPG,-1,1.0,-523.00±6.44,-532.01±11.53
simple_spread,MADDPG,-1,2.0,-586.99±11.10,-631.42±4.18
simple_spread,MADDPG,-1,3.0,-614.60±7.66,-680.89±3.14
simple_spread,RMAAC,-1,0.0,-432.25±13.88,-438.21±15.02
simple_spread,RMAAC,-1,1.0,-525.56±8.68,-535.32±20.26
simple_spread,RMAAC,-1,2.0,-589.99±6.19,-625.94±16.87
simple_spread,RMAAC,-1,3.0,-615.97±7.22,-679.53±5.64
simple_spread,ERNIE,0,0.0,-400.36±12.95,-404.41±1.74
simple_spread,ERNIE,0,0.4,-433.52±8.10,-434.63±2.88
simple_spread,ERNIE,0,0.8,-508.56±1.94,-508.98±10.14
simple_spread,ERNIE,0,1.0,-530.57±9.98,-538.78±8.29
simple_spread,ERNIE,0,1.2,-542.12±5.61,-569.99±14.01
simple_spread,ERNIE,0,1.6,-573.37±1.09,-605.38±1.64
simple_spread,ERNIE,0,2.0,-593.54±5.10,-638.16±8.13
simple_spread,ERNIE,0,2.4,-606.46±4.13,-665.46±0.51
simple_spread,ERNIE,0,2.8,-618.90±5.85,-682.29±2.22
simple_spread,ERNIE,0,3.0,-623.68±5.18,-686.10±1.86
simple_spread,M3DDPG,0,0.0,-440.43±12.84,-448.66±12.18
simple_spread,M3DDPG,0,0.4,-464.04±3.85,-463.55±13.19
simple_spread,M3DDPG,0,0.8,-509.52±10.36,-515.26±4.74
simple_spread,M3DDPG,0,1.0,-527.24±14.12,-546.10±9.48
simple_spread,M3DDPG,0,1.2,-543.04±10.04,-571.27±6.38
simple_spread,M3DDPG,0,1.6,-566.46±13.42,-610.11±0.68
simple_spread,M3DDPG,0,2.0,-590.48±7.14,-635.80±5.82
simple_spread,M3DDPG,0,2.4,-600.35±9.31,-663.45±3.78
simple_spread,M3DDPG,0,2.8,-616.79±9.02,-678.60±2.09
simple_spread,M3DDPG,0,3.0,-617.45±9.69,-684.41±3.79
simple_spread,MADDPG,0,0.0,-414.66±10.28,-411.61±4.90
simple_spread,MADDPG,0,0.4,-444.92±9.79,-440.27±5.51
